Rownames,Compartment,group,FDR,Significant,n,Genes
500,late endosome membrane,"Cytoplasm, Endosome, Intracellular vesicle",0,TRUE,25,"F8WIT2,P14824,P07356,P41731,P31996,P51791,P11438,P17047,P51150,P70280,O70404,Q9CZ28,O89116,Q91XH6,O88983,O35166,Q9CQ22,Q99PL6,Q91XD6,Q9CZX7,Q9DC29,Q99J93,Q7TMQ7,Q5ND34,Q3TWL2"
501,lateral cell cortex,Cytoplasm,0,TRUE,1,E9Q7G0
502,lateral element,Nucleus,0,TRUE,2,"Q9CW03,Q8VEE4"
503,lateral plasma membrane,Plasma membrane,0,TRUE,20,"G5E8K5,Q8VDN2,P14094,P14231,Q02248,Q811D0,O55111,Q05512,P23242,Q02257,P10107,O35379,Q9WTI7,P55012,P53986,Q9WUM4,Q9ES83,P31809,Q9JKF1,Q8BYA0"
504,leading edge membrane,Plasma membrane,0,TRUE,1,P60766
505,longitudinal sarcoplasmic reticulum,"Cytoplasm, Endoplasmic reticulum",0,TRUE,2,"O55143,Q8CHS7"
506,low-density lipoprotein particle,Extracellular region,0,TRUE,5,"Q00623,P08226,P12023,Q9Z1R3,E9Q414"
507,lumenal side of Golgi membrane,"Cytoplasm, Golgi apparatus",0,TRUE,1,Q02819
508,lysosomal lumen,"Cytoplasm, Lysosome, Vacuole",0,TRUE,2,"O35114,P17439"
509,lysosomal matrix,"Cytoplasm, Lysosome, Vacuole",0,TRUE,2,"P63017,P17047"
510,lysosomal membrane,"Cytoplasm, Lysosome, Vacuole",0,TRUE,53,"P48410,F8WIT2,P14824,P07356,O35114,P41731,P31996,P51791,P18242,P17439,P01899,P01901,P01898,P63017,P11499,P11438,P17047,Q61144,P70280,Q02053,O70404,Q91XH6,O88983,Q9JJ59,Q9JLN9,P57716,Q9CQW9,Q9CR51,Q99PL6,Q9CQW2,Q8K0B2,Q8VEH3,Q80TQ5,Q80VP0,E9PUD1,Q58A65,A0A0R4J196,Q80X71,Q8R2U0,Q9CZX7,Q9CXT7,Q9DC29,Q8K0P3,Q8VE96,Q99J93,Q91WI7,Q9D1M0,Q5ND34,Q91YT8,Q3TWL2,Q8VE19,Q9EQJ0,Q5H8C4"
511,lysosome,"Cytoplasm, Lysosome, Vacuole",0,TRUE,175,"P09470,P24638,P03958,P48410,G5E8K5,D3Z0Y2,O08709,Q6GT24,P08226,P12023,P50428,Q9WV54,Q9ERI2,P16460,P51863,P63082,P23780,P14211,O35350,O08529,P24270,Q64314,O35114,P41731,P31996,P51791,O89023,P21460,P10605,P97821,P18242,P49935,P06797,O70370,Q80TY0,P70699,P17439,P23242,P05201,P14434,P29416,P20060,Q99LI8,P63017,O35632,Q60766,P04441,P15208,P97414,P28740,Q61768,P11438,P17047,Q9Z0M5,P24668,P26645,O09159,P10852,Q8VDC1,Q9QWR8,O35604,Q64337,Q64338,P05622,O70172,P16675,O88531,O89017,Q61207,P35283,P63011,P51150,Q04519,Q9Z266,P08228,Q6PHU5,P05480,P70280,P70318,O70404,O70496,Q9JHF5,P40336,Q7TT45,Q91XH6,Q99K70,Q9WVJ3,Q8VCW4,Q9R1W5,P28662,Q9JJ59,Q9R0M6,Q9WV80,Q9R013,Q9JIA7,Q9JHJ3,Q9JLN9,P57716,Q9WUU7,Q9EQH3,Q9CQW9,Q9D154,Q9CQ22,Q99PL6,Q99KR8,Q8VCI0,Q9CQF9,Q9CQW2,Q68FD5,Q8BH57,Q9CWK8,Q9Z0J0,C0HKG5,C0HKG6,Q91V41,Q8K0B2,Q80X95,Q8VEH3,Q8BJF9,Q80TQ5,Q91XD6,Q80VP0,E9PUD1,Q58A65,A0A0R4J196,Q91W86,Q80X71,Q9D6W8,Q8R2U0,Q8BH31,Q3TB82,Q9CXY1,Q7TMR0,Q9CZX7,Q9CXT7,Q9DC29,Q8K0P3,Q8VE96,Q8BFR4,Q9D2N9,Q3UPF5,Q99J93,A0A0A6YXX3,Q9ESE1,A0A0A6YXL6,E9Q3Y4,Q9JHS3,Q9ET22,Q99JR5,Q91WI7,Q8CJ53,Q8BMJ2,Q8C8R3,P12265,Q8K2I4,Q9D1M0,Q8VEJ9,Q5ND34,Q91YT8,Q3UIR3,Q3TWL2,Q99JN2,Q8R3U1,Q8R307,Q91Y97,P59016,Q6PDL0,Q8R1Q8,Q80WG5,Q8VE19,Q9EQJ0,Q8BMI3,Q5H8C4,Q5ND29,Q62086"
512,m-AAA complex,"Cytoplasm, Mitochondrion",0,TRUE,3,"Q8JZQ2,Q920A7,Q3ULF4"
513,mRNA cap methyltransferase complex,Nucleus,0,TRUE,1,Q9D0L8
514,mRNA cleavage and polyadenylation specificity factor complex,Nucleus,0,TRUE,5,"P70182,Q9QXK7,Q9CQF3,Q9EPU4,Q6NVF9"
515,mRNA cleavage factor complex,Nucleus,0,TRUE,2,"Q9CQF3,Q6NVF9"
516,macropinosome,"Cytoplasm, Endosome, Intracellular vesicle",0,TRUE,5,"Q810B6,P07356,Q922J3,Q8K3H0,Q8K3G9"
517,male germ cell nucleus,Nucleus,0,TRUE,3,"P17156,P62827,Q8VEE4"
518,male pronucleus,Nucleus,0,TRUE,1,P83917
519,manchette,Cytoskeleton,0,TRUE,4,"Q9JHU4,P62827,Q9Z266,P61164"
520,mast cell granule,"Cytoplasm, Lysosome, Vacuole",0,TRUE,3,"P45376,P10107,P05125"
521,matrix side of mitochondrial inner membrane,"Cytoplasm, Mitochondrion",0,TRUE,2,"P11531,Q9CQV7"
522,mature chylomicron,Extracellular region,0,TRUE,1,E9Q414
523,mediator complex,Nucleus,0,TRUE,5,"P30285,Q64261,Q8K019,Q99J95,Q569Z6"
524,meiotic nuclear membrane microtubule tethering complex,Nucleus,0,TRUE,2,"Q6ZWR6,Q8BJS4"
525,meiotic spindle,Cytoskeleton,0,TRUE,2,"P17156,Q8VDQ8"
526,melanosome,"Cytoplasm, Intracellular vesicle",0,TRUE,8,"Q9ERI2,O54890,P11438,P62821,Q9R0M6,Q9CZE3,Q9CR67,Q99P58"
527,melanosome membrane,"Cytoplasm, Intracellular vesicle",0,TRUE,2,"Q9CZE3,Q9DC29"
528,membrane attack complex,Plasma membrane,0,TRUE,5,"P06683,P06684,Q8VCG4,Q8BH35,Q8K182"
529,membrane coat,Cytoplasm,0,TRUE,23,"O35643,P22892,O88512,P61967,P17426,P17427,Q9Z1T1,O54774,Q8BSZ2,Q8CIE6,P39053,O55029,Q9QXK3,Q9QZE5,P61924,Q68FD5,Q9DB34,Q9JIF7,Q9DBG3,Q9D8B3,Q3TIV9,Q9DB50,P62743"
530,methylosome,Cytoplasm,0,TRUE,10,"Q9JIF0,P62315,P62305,Q8CIG8,A0A0R4J049,P62320,P62309,P62307,Q99J09,P62317"
531,microtubule,Cytoskeleton,0,TRUE,128,"P08226,P80314,P80318,P80315,P80316,P80317,P80313,P42932,P49615,P16330,O08553,O08788,Q811D0,Q9JHU4,O88487,P39053,P39054,Q91ZU6,Q61166,P23116,O08579,P30416,Q9Z2V5,P63017,Q61699,F8VQ75,E9Q4K7,A0A286YCV9,Q60575,O35071,P28740,Q9QXL2,Q61771,Q61768,P54227,Q60875,P26645,Q9QYR6,P14873,P27546,Q7TSJ2,O88735,P10637,Q62433,O35685,P63005,Q61249,Q68FL0,G3X9J1,P70414,Q61235,P70302,P48428,P11983,P68368,P68373,Q7TMM9,Q9ERD7,Q9D6F9,P99024,P31938,Q63932,Q9ESD7,Q9JKF1,Q9Z0Y1,Q9JJZ2,Q80UG5,Q922J3,P63168,Q9WV60,Q9ERP3,Q8VDQ8,Q9DCV4,Q9D1E6,Q91VR7,P56387,Q9CZA6,Q9CQV6,Q3UJU9,Q922F4,Q9CRB6,Q9D0M5,Q05BC3,D3Z4J9,Q99KJ8,Q7TNG5,Q8BG26,Q6NVE8,Q6PB66,Q7TQD2,Q9CWF2,Q8K1M6,E9PUD2,P58281,Q921G8,Q80TQ2,Q9DBS5,Q8BRT1,A0A087WQ31,Q80TV8,A0A087WS18,Q3UHD3,Q8BIL5,Q3UMY5,Q99LM2,Q921M4,Q6PER3,E9Q7G0,P83887,Q8BZ98,Q8CJ53,Q3TCJ1,Q8R001,Q91YN9,Q8BVG4,P68372,Q3TVI8,Q6PDL0,Q8R1Q8,Q3UX10,Q8C052,Q8BQM8,Q8BUK6,Q8BSE0,Q3UQ44,Q6A065,A2AQ07,Q2NL51"
532,microtubule associated complex,Cytoskeleton,0,TRUE,16,"O08788,Q61239,Q9Z2V5,Q60575,Q9QYR6,P14873,P63005,Q62048,Q9Z0Y1,P63168,Q9ERP3,Q9CQV6,Q9D0M5,Q5SRY7,Q8K2I1,Q8C052"
533,microtubule bundle,Cytoskeleton,0,TRUE,4,"Q05512,Q9CRB6,Q7TQD2,E9Q7G0"
534,microtubule cytoskeleton,Cytoskeleton,0,TRUE,77,"P31750,P23927,P53395,O08788,Q91ZU6,Q61166,P16858,Q9Z2V5,P63037,Q61771,Q61768,P27546,O88735,P10637,Q60592,Q62433,P42208,P63005,Q9Z2Q6,P28661,Q8CHH9,P48428,P68368,P68373,Q9ERD7,Q80VJ2,Q9JKF1,Q9QYB1,Q9WV55,Q8C1B7,Q9CQ48,Q9JJZ2,Q80UG5,P61164,Q9D0J4,Q9WUL7,P61022,Q922J3,Q80TM9,Q91VR7,Q05BC3,D3Z4J9,Q8BG26,Q3UHI0,Q9CXS4,Q9CWF2,Q8K1M6,E9PUD2,Q6VN19,Q8VD65,Q8CI08,Q8BRT1,A0A087WQ31,Q80TV8,A0A087WS18,Q8BIL5,Q3UMY5,Q6PER3,Q5HZI1,Q8C650,Q7TPH6,Q9CZN7,Q80U63,Q8VH51,Q8K1X1,Q8R001,Q99JN2,Q8R5C5,J3QN89,Q3TJ22,O55131,E9Q1G8,A2AJI1,A8Y5P4,A2AJI0,Q8BH64,Q8C052"
535,microtubule minus-end,Cytoskeleton,0,TRUE,2,"E9Q7G0,Q3TCJ1"
536,microtubule organizing center,Cytoskeleton,0,TRUE,23,"O88738,Q61166,O08917,P11983,Q921U8,O35250,Q9CZA6,Q921G8,Q8BRT1,A0A087WQ31,Q80TV8,A0A087WS18,Q3UMY5,Q80YT7,A2A5R2,Q6PER3,P83887,E9QP49,Q99MS7,Q8R001,Q69ZW3,Q91Y97,Q8CI12"
537,microtubule plus-end,Cytoskeleton,0,TRUE,9,"O08788,Q91ZU6,Q61166,Q922J3,A2AGT5,Q8CI08,Q6PER3,E9Q7G0,Q8R001"
538,microvillus membrane,Plasma membrane,0,TRUE,7,"Q01341,Q02248,P43406,O54890,P26040,P70441,Q9R0M4"
539,mitochondrial alpha-ketoglutarate dehydrogenase complex,"Cytoplasm, Mitochondrion",0,TRUE,3,"Q3U3J1,Q6P3A8,O55028"
540,mitochondrial crista,"Cytoplasm, Mitochondrion",0,TRUE,8,"O08715,P46656,P63038,P25911,P67778,P35821,Q9D1Z3,P58281"
541,mitochondrial crista junction,"Cytoplasm, Mitochondrion",0,TRUE,1,Q8R404
542,mitochondrial degradosome,"Cytoplasm, Mitochondrion",0,TRUE,2,"Q8K1R3,Q80YD1"
543,mitochondrial electron transfer flavoprotein complex,"Cytoplasm, Mitochondrion",0,TRUE,3,"Q921G7,Q9DCW4,Q99LC5"
