Protein.Group,Markers,markers
P61957;Q9Z172,unknown,unknown
P61961,unknown,unknown
P61963,unknown,unknown
P61965,unknown,unknown
P61967,unknown,unknown
P61967;Q9DB50,unknown,unknown
P61971,unknown,unknown
P61979,unknown,unknown
P61982,unknown,unknown
P61982;P68510,unknown,unknown
P61982;Q9CQV8,unknown,unknown
P62071,unknown,unknown
P62075,unknown,unknown
P62082,RCX_2,RCX_2
P62137,unknown,unknown
P62137;P62141;P63087,unknown,unknown
P62137;P63087,unknown,unknown
P62141,unknown,unknown
P62192,PX_1,PX_1
P62196,PX_1,PX_1
P62242,RCX_2,RCX_2
P62245,RCX_2,RCX_2
P62254,unknown,unknown
P62257,unknown,unknown
P62259,unknown,unknown
P62264,unknown,unknown
P62267,RCX_2,RCX_2
P62270,RCX_2,RCX_2
P62274,unknown,unknown
P62281,RCX_2,RCX_2
P62301,RCX_2,RCX_2
P62305,unknown,unknown
P62307,unknown,unknown
P62309,unknown,unknown
P62313,unknown,unknown
P62315,NU_2,NU_2
P62317,unknown,unknown
P62320,NU_2,NU_2
P62331,unknown,unknown
P62334,PX_1,PX_1
P62342,unknown,unknown
P62488,unknown,unknown
P62631,unknown,unknown
P62700,unknown,unknown
P62702,RCX_2,RCX_2
P62715;P63330,unknown,unknown
P62715;P63330;P97470,unknown,unknown
P62717,RCX_1,RCX_1
P62743,unknown,unknown
P62746,unknown,unknown
P62746;Q62159;Q9QUI0,unknown,unknown
P62748,unknown,unknown
P62751,RCX_1,RCX_1
P62754,RCX_2,RCX_2
P62774,unknown,unknown
P62806,NU_1,NU_1
P62814,unknown,unknown
P62821,unknown,unknown
P62827,unknown,unknown
