Protein.Group,Markers,markers
P08228,unknown,unknown
P08249,MITO_2,MITO_2
P08508,unknown,unknown
P08556,unknown,unknown
P08556;P32883,unknown,unknown
P08556;P32883;Q61411,unknown,unknown
P08556;Q61411,unknown,unknown
P08752,unknown,unknown
P08752;P18872;P63094;Q6R0H7;Q9DC51,unknown,unknown
P08775,unknown,unknown
P08905,unknown,unknown
P09055,unknown,unknown
P09103,ER_1,ER_1
P09242,unknown,unknown
P09405,NU_2,NU_2
P09411,CYTO_1,CYTO_1
P09470,unknown,unknown
P09528,unknown,unknown
P09541,unknown,unknown
P09541;P09542,unknown,unknown
P09542,ST_1,ST_1
P09581,unknown,unknown
P09671,MITO_2,MITO_2
P09813,unknown,unknown
P09925,unknown,unknown
P0C0A3,unknown,unknown
P0C0S6;Q3THW5,unknown,unknown
P0C5K1,unknown,unknown
P0C605,unknown,unknown
P0C872,unknown,unknown
P0CW02,unknown,unknown
P0DJE0,unknown,unknown
P0DN34,unknown,unknown
P0DOV2,unknown,unknown
P0DP26;P0DP27;P0DP28,unknown,unknown
P10107,unknown,unknown
P10126,unknown,unknown
P10126;P62631,unknown,unknown
P10493,unknown,unknown
P10518,unknown,unknown
P10605,unknown,unknown
P10630,unknown,unknown
P10630;P60843,unknown,unknown
P10637,unknown,unknown
P10639,unknown,unknown
P10649,CYTO_1,CYTO_1
P10649;P15626;P48774;Q80W21;Q8R5I6,unknown,unknown
P10649;P15626;Q80W21;Q8R5I6,unknown,unknown
P10711,unknown,unknown
P10810,unknown,unknown
P10833,unknown,unknown
P10833;P62071,unknown,unknown
P10852,CM_1,CM_1
P10853;P10854;Q64475;Q64478;Q64525;Q6ZWY9;Q8CGP1;Q8CGP2,unknown,unknown
P10922,NU_1,NU_1
P11031,unknown,unknown
P11087,ST_1,ST_1
P11103,unknown,unknown
P11152,unknown,unknown
P11276,unknown,unknown
P11352,unknown,unknown
P11404,CYTO_1,CYTO_1
P11438,unknown,unknown
P11499,unknown,unknown
P11531,CP_1,CP_1
P11679,unknown,unknown
P11679;P15331;P20152;P31001;Q9DCV7,unknown,unknown
P11680,unknown,unknown
P11688,CM_1,CM_1
P11798,unknown,unknown
P11798;Q6PHZ2,unknown,unknown
P11798;Q6PHZ2;Q923T9,unknown,unknown
P11835,CM_1,CM_1
